CENSUS_BLOCK_GROUP,CENSUS_TRACT,TRACT,USPS_ZIP_PREF_STATE,ZIP,TOTAL_POPULATION_25PLUS,MALE_HIGH_SCHOOL_GRADUATE,FEMALE_HIGH_SCHOOL_GRADUATE,MALE_BACHELORS_DEGREE,FEMALE_BACHELORS_DEGREE
360010001001,36001000100,36001000100,NY,12204,602,91,147,37,18
360010001001,36001000100,36001000100,NY,12207,602,91,147,37,18
360010001001,36001000100,36001000100,NY,12210,602,91,147,37,18
360010001002,36001000100,36001000100,NY,12204,681,95,95,20,32
360010001002,36001000100,36001000100,NY,12207,681,95,95,20,32
360010001002,36001000100,36001000100,NY,12210,681,95,95,20,32
360010004011,36001000401,36001000401,NY,12084,2169,172,358,219,254
360010004011,36001000401,36001000401,NY,12203,2169,172,358,219,254
360010004011,36001000401,36001000401,NY,12205,2169,172,358,219,254
360010004031,36001000403,36001000403,NY,12203,907,46,47,132,63
360010004031,36001000403,36001000403,NY,12206,907,46,47,132,63
360010004031,36001000403,36001000403,NY,12226,907,46,47,132,63
360010004031,36001000403,36001000403,NY,12232,907,46,47,132,63
360010004032,36001000403,36001000403,NY,12203,1017,97,13,163,200
360010004032,36001000403,36001000403,NY,12206,1017,97,13,163,200
360010004032,36001000403,36001000403,NY,12226,1017,97,13,163,200
360010004032,36001000403,36001000403,NY,12232,1017,97,13,163,200
360010004033,36001000403,36001000403,NY,12203,518,15,38,146,75
360010004033,36001000403,36001000403,NY,12206,518,15,38,146,75
360010004033,36001000403,36001000403,NY,12226,518,15,38,146,75
360010004033,36001000403,36001000403,NY,12232,518,15,38,146,75
360010004034,36001000403,36001000403,NY,12203,778,19,0,132,136
360010004034,36001000403,36001000403,NY,12206,778,19,0,132,136
360010004034,36001000403,36001000403,NY,12226,778,19,0,132,136
360010004034,36001000403,36001000403,NY,12232,778,19,0,132,136
360010004041,36001000404,36001000404,NY,12203,55,4,3,1,2
360010004041,36001000404,36001000404,NY,12222,55,4,3,1,2
360010004041,36001000404,36001000404,NY,12246,55,4,3,1,2
360010005011,36001000501,36001000501,NY,12206,736,94,124,50,86
360010005012,36001000501,36001000501,NY,12206,303,47,2,52,20
360010005013,36001000501,36001000501,NY,12206,273,16,7,28,0
360010005014,36001000501,36001000501,NY,12206,880,142,141,86,14
360010005021,36001000502,36001000502,NY,12203,164,27,5,51,16
360010005022,36001000502,36001000502,NY,12203,1007,82,70,170,133
360010006001,36001000600,36001000600,NY,12203,297,41,29,8,0
360010006001,36001000600,36001000600,NY,12206,297,41,29,8,0
360010006002,36001000600,36001000600,NY,12203,770,128,195,0,35
360010006002,36001000600,36001000600,NY,12206,770,128,195,0,35
360010006003,36001000600,36001000600,NY,12203,675,95,87,76,49
360010006003,36001000600,36001000600,NY,12206,675,95,87,76,49
360010007001,36001000700,36001000700,NY,12206,556,32,97,28,1
360010007001,36001000700,36001000700,NY,12210,556,32,97,28,1
360010007001,36001000700,36001000700,NY,12257,556,32,97,28,1
360010007001,36001000700,36001000700,NY,12260,556,32,97,28,1
360010007002,36001000700,36001000700,NY,12206,520,92,122,19,36
360010007002,36001000700,36001000700,NY,12210,520,92,122,19,36
360010007002,36001000700,36001000700,NY,12257,520,92,122,19,36
360010007002,36001000700,36001000700,NY,12260,520,92,122,19,36
360010007003,36001000700,36001000700,NY,12206,842,127,179,37,99
360010007003,36001000700,36001000700,NY,12210,842,127,179,37,99
360010007003,36001000700,36001000700,NY,12257,842,127,179,37,99
360010007003,36001000700,36001000700,NY,12260,842,127,179,37,99
360010007004,36001000700,36001000700,NY,12206,524,71,120,0,8
360010007004,36001000700,36001000700,NY,12210,524,71,120,0,8
360010007004,36001000700,36001000700,NY,12257,524,71,120,0,8
360010007004,36001000700,36001000700,NY,12260,524,71,120,0,8
360010008001,36001000800,36001000800,NY,12202,106,0,0,18,0
360010008001,36001000800,36001000800,NY,12206,106,0,0,18,0
360010008001,36001000800,36001000800,NY,12210,106,0,0,18,0
360010008002,36001000800,36001000800,NY,12202,634,109,62,49,0
360010008002,36001000800,36001000800,NY,12206,634,109,62,49,0
360010008002,36001000800,36001000800,NY,12210,634,109,62,49,0
360010008003,36001000800,36001000800,NY,12202,405,114,43,33,13
360010008003,36001000800,36001000800,NY,12206,405,114,43,33,13
360010008003,36001000800,36001000800,NY,12210,405,114,43,33,13
360010011001,36001001100,36001001100,NY,12201,1307,216,58,57,68
360010011001,36001001100,36001001100,NY,12202,1307,216,58,57,68
360010011001,36001001100,36001001100,NY,12204,1307,216,58,57,68
360010011001,36001001100,36001001100,NY,12207,1307,216,58,57,68
360010011001,36001001100,36001001100,NY,12208,1307,216,58,57,68
360010011001,36001001100,36001001100,NY,12209,1307,216,58,57,68
360010011001,36001001100,36001001100,NY,12210,1307,216,58,57,68
360010011001,36001001100,36001001100,NY,12223,1307,216,58,57,68
360010011001,36001001100,36001001100,NY,12224,1307,216,58,57,68
360010011001,36001001100,36001001100,NY,12233,1307,216,58,57,68
360010011001,36001001100,36001001100,NY,12234,1307,216,58,57,68
