ZIP_COAL,cate_half_plus1,cate_bed_plus1,cate_joint_half1_bed1,cate_joint_half1_5_bed0_5
10501,-2801680.038914895,15428122.952604057,12626442.913689163,3511541.4179296857
10502,-2798550.192151285,15408927.835217593,12610377.64306631,3506638.62938187
10504,-2795420.345387675,15389732.717831127,12594312.372443452,3501735.8408340514
10505,-2792290.4986240645,15370537.600444663,12578247.1018206,3496833.0522862347
10506,-2789160.651860454,15351342.4830582,12562181.831197746,3491930.2637384185
10507,-2786030.805096844,15332147.365671733,12546116.56057489,3487027.4751906004
10509,-2782900.958333234,15312952.24828527,12530051.289952036,3482124.6866427837
10510,-2779771.1115696235,15293757.130898803,12513986.01932918,3477221.8980949665
10511,-2776641.264806013,15274562.01351234,12497920.748706326,3472319.1095471503
10512,-2773511.418042403,15255366.896125874,12481855.478083473,3467416.3209993327
10514,-2770381.571278793,15236171.778739411,12465790.207460616,3462513.5324515156
10516,-2767251.7245151824,15216976.661352945,12449724.936837763,3457610.7439036993
10518,-2764121.8777515725,15197781.543966481,12433659.66621491,3452707.9553558817
10519,-2760992.030987962,15178586.426580016,12417594.395592052,3447805.1668080646
10520,-2757862.184224352,15159391.309193552,12401529.1249692,3442902.3782602483
10522,-2754732.337460742,15140196.191807088,12385463.854346344,3437999.58971243
10523,-2751602.4906971315,15121001.074420622,12369398.58372349,3433096.8011646136
10524,-2748472.643933521,15101805.957034158,12353333.313100636,3428194.0126167974
10526,-2745342.7971699107,15082610.839647692,12337268.042477781,3423291.2240689797
10527,-2742212.950406301,15063415.722261228,12321202.771854928,3418388.4355211626
10528,-2739083.1036426905,15044220.604874764,12305137.50123207,3413485.6469733464
10530,-2735953.25687908,15025025.487488298,12289072.230609218,3408582.8584255287
10532,-2732823.41011547,15005830.370101834,12273006.959986363,3403680.0698777116
10533,-2729693.56335186,14986635.252715368,12256941.689363508,3398777.281329894
10535,-2726563.7165882494,14967440.135328904,12240876.418740654,3393874.4927820778
10536,-2723433.8698246395,14948245.01794244,12224811.1481178,3388971.7042342606
10537,-2720304.0230610296,14929049.900555974,12208745.877494944,3384068.9156864434
10538,-2717174.176297419,14909854.78316951,12192680.606872091,3379166.1271386268
10541,-2714044.329533809,14890659.665783046,12176615.336249236,3374263.33859081
10543,-2710914.4827701985,14871464.548396578,12160550.065626381,3369360.5500429925
10546,-2707784.636006588,14852269.431010116,12144484.795003528,3364457.761495176
10547,-2704654.7892429777,14833074.313623654,12128419.524380675,3359554.972947359
10548,-2701524.942479368,14813879.196237186,12112354.253757818,3354652.1843995415
10549,-2698395.0957157575,14794684.078850722,12096288.983134964,3349749.395851725
10550,-2695265.248952147,14775488.961464256,12080223.71251211,3344846.607303907
10552,-2692135.402188537,14756293.844077794,12064158.441889254,3339943.8187560905
10553,-2689005.555424927,14737098.726691328,12048093.171266401,3335041.0302082733
10560,-2685875.7086613164,14717903.60930486,12032027.900643546,3330138.241660456
10562,-2682745.8618977065,14698708.491918398,12015962.630020691,3325235.453112639
10566,-2679616.015134096,14679513.374531932,11999897.359397836,3320332.6645648223
10567,-2676486.168370486,14660318.25714547,11983832.088774985,3315429.8760170056
10570,-2673356.3216068754,14641123.139759004,11967766.81815213,3310527.087469189
10573,-2670226.4748432655,14621928.022372536,11951701.547529273,3305624.298921371
10576,-2667096.628079655,14602732.904986074,11935636.27690642,3300721.510373554
10577,-2663966.7813160447,14583537.78759961,11919571.006283566,3295818.7218257375
10578,-2660836.934552435,14564342.670213144,11903505.73566071,3290915.93327792
10579,-2657707.0877888245,14545147.55282668,11887440.465037856,3286013.144730103
10580,-2654577.241025214,14525952.435440216,11871375.194415001,3281110.3561822865
10583,-2651447.394261604,14506757.31805375,11855309.923792146,3276207.567634469
10588,-2648317.547497994,14487562.200667286,11839244.653169293,3271304.779086652
10589,-2645187.700734384,14468367.08328082,11823179.382546436,3266401.990538835
10590,-2642057.8539707735,14449171.965894356,11807114.111923583,3261499.201991018
10591,-2638928.007207163,14429976.848507892,11791048.84130073,3256596.413443201
10594,-2635798.160443553,14410781.731121425,11774983.570677873,3251693.624895384
10595,-2632668.3136799424,14391586.613734962,11758918.30005502,3246790.836347568
10597,-2629538.4669163325,14372391.496348497,11742853.029432166,3241888.04779975
10598,-2626408.620152722,14353196.378962032,11726787.75880931,3236985.259251933
10601,-2623278.7733891117,14334001.261575568,11710722.488186456,3232082.470704117
10603,-2620148.926625502,14314806.144189104,11694657.217563603,3227179.6821562992
10604,-2617019.0798618915,14295611.026802637,11678591.946940746,3222276.893608482
10605,-2613889.233098281,14276415.909416175,11662526.676317893,3217374.105060666
10606,-2610759.3863346707,14257220.792029709,11646461.405695038,3212471.3165128483
10607,-2607629.539571061,14238025.674643246,11630396.135072183,3207568.5279650316
10701,-2604499.6928074504,14218830.55725678,11614330.86444933,3202665.7394172144
10703,-2601369.84604384,14199635.439870315,11598265.593826475,3197762.9508693977
10704,-2598239.99928023,14180440.32248385,11582200.32320362,3192860.16232158
10705,-2595110.15251662,14161245.205097385,11566135.052580765,3187957.373773763
10706,-2591980.3057530094,14142050.087710923,11550069.78195791,3183054.5852259463
10707,-2588850.4589893995,14122854.970324457,11534004.511335056,3178151.796678129
10708,-2585720.612225789,14103659.85293799,11517939.240712201,3173249.008130312
10709,-2582590.7654621787,14084464.735551527,11501873.970089348,3168346.2195824953
10710,-2579460.918698569,14065269.618165063,11485808.699466493,3163443.431034678
10801,-2576331.0719349585,14046074.500778595,11469743.428843638,3158540.6424868605
10803,-2573201.225171348,14026879.383392133,11453678.158220785,3153637.8539390443
10804,-2570071.378407738,14007684.266005669,11437612.88759793,3148735.065391227
10805,-2566941.531644128,13988489.148619203,11421547.616975075,3143832.27684341
10901,-2563811.6848805174,13969294.031232739,11405482.346352221,3138929.4882955933
10913,-2560681.838116907,13950098.913846273,11389417.075729366,3134026.6997477757
10914,-2557551.991353297,13930903.79645981,11373351.805106511,3129123.911199959
10916,-2554422.1445896868,13911708.679073345,11357286.534483658,3124221.1226521423
10917,-2551292.2978260764,13892513.561686879,11341221.263860803,3119318.3341043247
10918,-2548162.4510624665,13873318.444300415,11325155.993237948,3114415.545556508
10919,-2545032.604298856,13854123.326913951,11309090.722615095,3109512.7570086913
10920,-2541902.7575352457,13834928.209527485,11293025.45199224,3104609.9684608737
10921,-2538772.9107716354,13815733.09214102,11276960.181369387,3099707.1799130575
10922,-2535643.0640080255,13796537.974754557,11260894.910746532,3094804.3913652403
10923,-2532513.217244415,13777342.857368091,11244829.640123677,3089901.6028174227
10924,-2529383.3704808047,13758147.739981627,11228764.369500823,3084998.8142696065
10925,-2526253.523717195,13738952.622595161,11212699.098877966,3080096.0257217884
10926,-2523123.6769535844,13719757.505208697,11196633.828255113,3075193.2371739717
10927,-2519993.830189974,13700562.387822233,11180568.55763226,3070290.4486261555
10928,-2516863.983426364,13681367.270435767,11164503.287009403,3065387.6600783374
10930,-2513734.1366627538,13662172.153049303,11148438.01638655,3060484.8715305207
10931,-2510604.2898991434,13642977.035662837,11132372.745763693,3055582.0829827036
10932,-2507474.4431355335,13623781.918276375,11116307.47514084,3050679.2944348864
10933,-2504344.596371923,13604586.80088991,11100242.204517987,3045776.5058870697
10940,-2501214.7496083127,13585391.683503443,11084176.93389513,3040873.717339252
10941,-2498084.902844703,13566196.56611698,11068111.663272277,3035970.9287914354
10950,-2494955.0560810925,13547001.448730515,11052046.392649423,3031068.1402436187
10952,-2491825.209317482,13527806.33134405,11035981.122026566,3026165.3516958016
10953,-2488695.3625538717,13508611.213957585,11019915.851403713,3021262.5631479854
