ZIP_COAL,cate_per_plus1_halfbath
10501,-2403420.3881157306
10502,-2400483.6548437127
10504,-2397546.9215716943
10505,-2394610.1882996764
10506,-2391673.455027658
10507,-2388736.72175564
10509,-2385799.988483622
10510,-2382863.255211604
10511,-2379926.521939586
10512,-2376989.7886675675
10514,-2374053.0553955496
10516,-2371116.3221235317
10518,-2368179.5888515133
10519,-2365242.8555794954
10520,-2362306.122307477
10522,-2359369.389035459
10523,-2356432.655763441
10524,-2353495.922491423
10526,-2350559.189219405
10527,-2347622.4559473866
10528,-2344685.7226753687
10530,-2341748.9894033507
10532,-2338812.2561313324
10533,-2335875.5228593145
10535,-2332938.789587296
10536,-2330002.056315278
10537,-2327065.3230432603
10538,-2324128.589771242
10541,-2321191.856499224
10543,-2318255.1232272056
10546,-2315318.3899551877
10547,-2312381.65668317
10548,-2309444.9234111514
10549,-2306508.1901391335
10550,-2303571.456867115
10552,-2300634.723595097
10553,-2297697.9903230793
10560,-2294761.257051061
10562,-2291824.523779043
10566,-2288887.7905070246
10567,-2285951.0572350067
10570,-2283014.323962989
10573,-2280077.5906909704
10576,-2277140.8574189525
10577,-2274204.124146934
10578,-2271267.390874916
10579,-2268330.6576028983
10580,-2265393.92433088
10583,-2262457.191058862
10588,-2259520.4577868436
10589,-2256583.7245148257
10590,-2253646.9912428074
10591,-2250710.2579707894
10594,-2247773.5246987715
10595,-2244836.791426753
10597,-2241900.0581547352
10598,-2238963.324882717
10601,-2236026.591610699
10603,-2233089.858338681
10604,-2230153.1250666627
10605,-2227216.3917946448
10606,-2224279.6585226264
10607,-2221342.9252506085
10701,-2218406.1919785906
10703,-2215469.458706572
10704,-2212532.7254345543
10705,-2209595.992162536
10706,-2206659.258890518
10707,-2203722.5256185
10708,-2200785.7923464817
10709,-2197849.059074464
10710,-2194912.3258024454
10801,-2191975.5925304275
10803,-2189038.8592584096
10804,-2186102.125986391
10805,-2183165.3927143733
10901,-2180228.659442355
10913,-2177291.926170337
10914,-2174355.192898319
10916,-2171418.4596263007
10917,-2168481.726354283
10918,-2165544.9930822644
10919,-2162608.2598102465
10920,-2159671.5265382286
10921,-2156734.7932662102
10922,-2153798.0599941923
10923,-2150861.326722174
10924,-2147924.593450156
10925,-2144987.860178138
10926,-2142051.1269061198
10927,-2139114.393634102
10928,-2136177.6603620835
10930,-2133240.9270900656
10931,-2130304.1938180476
10932,-2127367.4605460293
10933,-2124430.7272740114
10940,-2121493.994001993
10941,-2118557.260729975
10950,-2115620.527457957
10952,-2112683.794185939
10953,-2109747.060913921
10954,-2106810.3276419025
10956,-2103873.5943698846
10958,-2100936.8610978667
10960,-2098000.1278258483
10962,-2095063.3945538304
10963,-2092126.6612818122
10964,-2089189.9280097939
10965,-2086253.194737776
10968,-2083316.4614657576
10969,-2080379.7281937401
10970,-2077442.9949217218
10973,-2074506.2616497036
10974,-2071569.5283776857
10975,-2068632.7951056673
10976,-2065696.0618336496
10977,-2062759.3285616315
10980,-2059822.5952896131
10981,-2056885.862017595
10982,-2053949.1287455768
10983,-2051012.3954735592
10984,-2048075.6622015408
10985,-2045138.9289295226
10987,-2042202.1956575043
10988,-2039265.462385486
10989,-2036328.7291134684
10990,-2033391.9958414503
10992,-2030455.2625694321
10993,-2027518.529297414
10994,-2024581.7960253959
10998,-2021645.062753378
11001,-2018708.3294813598
11003,-2015771.5962093417
11010,-2012834.8629373235
11020,-2009898.1296653056
11021,-2006961.3963932875
11023,-2004024.6631212693
11024,-2001087.929849251
11030,-1998151.1965772328
11040,-1995214.463305215
11050,-1992277.730033197
11096,-1989340.9967611786
11249,-1986404.2634891607
11360,-1983467.5302171425
11365,-1980530.7969451244
11501,-1977594.0636731065
11507,-1974657.3304010883
11509,-1971720.5971290704
11510,-1968783.8638570518
11514,-1965847.130585034
11516,-1962910.397313016
11518,-1959973.6640409979
11520,-1957036.9307689797
11530,-1954100.1974969616
11542,-1951163.4642249434
11545,-1948226.7309529255
11547,-1945289.9976809074
11548,-1942353.2644088892
11550,-1939416.531136871
11552,-1936479.797864853
11553,-1933543.064592835
11554,-1930606.331320817
11557,-1927669.5980487987
11558,-1924732.8647767804
11559,-1921796.1315047625
11560,-1918859.3982327445
11561,-1915922.6649607264
11563,-1912985.9316887083
11565,-1910049.19841669
11566,-1907112.465144672
11568,-1904175.731872654
11569,-1901238.998600636
11570,-1898302.2653286178
11572,-1895365.5320565996
11575,-1892428.7987845817
11576,-1889492.0655125633
11577,-1886555.3322405454
11579,-1883618.5989685273
11580,-1880681.8656965091
11581,-1877745.1324244912
11590,-1874808.399152473
11596,-1871871.6658804545
11598,-1868934.9326084368
11701,-1865998.1993364186
11702,-1863061.4660644005
11703,-1860124.7327923826
11704,-1857187.9995203642
11705,-1854251.266248346
11706,-1851314.5329763282
11709,-1848377.79970431
11710,-1845441.0664322919
11713,-1842504.3331602735
11714,-1839567.5998882558
11715,-1836630.8666162377
11716,-1833694.1333442193
11717,-1830757.4000722019
11718,-1827820.6668001832
11719,-1824883.9335281653
11720,-1821947.2002561472
11722,-1819010.466984129
11724,-1816073.7337121111
11725,-1813137.0004400928
11726,-1810200.2671680748
11727,-1807263.5338960567
11729,-1804326.8006240386
11730,-1801390.0673520206
11732,-1798453.3340800023
11733,-1795516.6008079844
11735,-1792579.8675359662
11738,-1789643.134263948
11739,-1786706.4009919302
11741,-1783769.6677199118
11742,-1780832.9344478936
11743,-1777896.2011758755
11746,-1774959.4679038576
11749,-1772022.7346318394
11751,-1769086.0013598213
11752,-1766149.2680878034
11753,-1763212.5348157852
11754,-1760275.801543767
11755,-1757339.0682717492
11756,-1754402.3349997308
11757,-1751465.601727713
11758,-1748528.8684556948
11762,-1745592.1351836766
11763,-1742655.4019116587
11764,-1739718.6686396403
11765,-1736781.9353676222
11766,-1733845.2020956043
11767,-1730908.4688235861
11768,-1727971.7355515682
11769,-1725035.0022795498
11770,-1722098.269007532
11771,-1719161.5357355138
11772,-1716224.8024634956
11776,-1713288.0691914777
11777,-1710351.3359194594
11778,-1707414.6026474417
11779,-1704477.8693754233
11780,-1701541.1361034052
11782,-1698604.4028313872
